Row Number,NearableID,Major,Minor,RSSI,Current Time,Application state,IdleBatteryVoltage,StressBatteryVoltage,Ratio,Event Type,Power,Adv Interval,HardwareVersion,FirmwareVersion,Is Moving
168,b9feb77ac7c77d3a,(null),(null),-70,2017-10-03 13:01:57,TERMINATED,(null),2.491495601173021,1.000000,INTERACTION TRACKED,0,(null),SB0,unknown,1
169,a5c6b28240ed0d71,(null),(null),-77,2017-10-03 13:01:58,TERMINATED,(null),2.699120234604106,0.847826,INTERACTION IN-PROGRESS,0,(null),SB0,unknown,1
170,9e33ae27763095ad,(null),(null),-77,2017-10-03 13:01:58,TERMINATED,(null),2.459824046920821,0.666667,INTERACTION TRACKED,0,(null),SB0,unknown,0
171,b9feb77ac7c77d3a,(null),(null),-70,2017-10-03 13:01:58,TERMINATED,(null),2.491495601173021,1.000000,INTERACTION TRACKED,0,(null),SB0,unknown,1
172,a5c6b28240ed0d71,(null),(null),-77,2017-10-03 13:01:59,TERMINATED,(null),2.699120234604106,0.851064,INTERACTION IN-PROGRESS,0,(null),SB0,unknown,1
173,9e33ae27763095ad,(null),(null),-77,2017-10-03 13:01:59,TERMINATED,(null),2.459824046920821,0.676471,INTERACTION TRACKED,0,(null),SB0,unknown,0
174,b9feb77ac7c77d3a,(null),(null),-70,2017-10-03 13:01:59,TERMINATED,(null),2.491495601173021,1.000000,INTERACTION TRACKED,0,(null),SB0,unknown,1
175,b9feb77ac7c77d3a,(null),(null),,2017-10-03 13:09:24,FG,(null),(null),nan,MET INTERACTION REQUEST SENT,(null),(null),(null),(null),0
176,a5c6b28240ed0d71,(null),(null),-77,2017-10-03 13:09:24,FG,(null),2.699120234604106,0.854167,INTERACTION IN-PROGRESS,0,(null),SB0,unknown,1
177,b9feb77ac7c77d3a,(null),(null),-70,2017-10-03 13:09:24,FG,(null),2.491495601173021,1.000000,INTERACTION TIME-RATIO MET,0,(null),SB0,unknown,1
178,9e33ae27763095ad,(null),(null),-77,2017-10-03 13:09:24,FG,(null),2.459824046920821,0.685714,INTERACTION TRACKED,0,(null),SB0,unknown,0
179,(null),(null),(null),(null),2017-10-03 13:09:24,FG,(null),(null),nan,Token in request : ,(null),(null),(null),(null),0
180,b9feb77ac7c77d3a,(null),(null),,2017-10-03 13:09:25,FG,(null),(null),nan,MET INTERACTION RESPONSE SUCCESS,(null),(null),(null),(null),0
181,B9FEB77AC7C77D3A,A5C6B28240ED0D71,(null),(null),,2017-10-03 13:09:25,FG,(null),(null),nan,EMPLOYEE REQUEST SENT,(null),(null),(null),(null),0
182,B9FEB77AC7C77D3A,A5C6B28240ED0D71,(null),(null),,2017-10-03 13:09:26,FG,(null),(null),nan,EMPLOYEE RESPONSE SUCCESS,(null),(null),(null),(null),0
183,(null),(null),(null),(null),2017-10-03 13:09:32,FG,(null),(null),nan,Token in didRegisterForRemoteNotificationsWithDeviceToken : <3f88b6b1 c69786bf 4f5ecc9a 6a73594a 7e8d67f8 a109b949 ca759caa 5f4094d0>,(null),(null),(null),(null),0
184,(null),(null),(null),(null),2017-10-03 13:09:32,FG,(null),(null),nan,Token in didRegisterForRemoteNotificationsWithDeviceToken : <3f88b6b1 c69786bf 4f5ecc9a 6a73594a 7e8d67f8 a109b949 ca759caa 5f4094d0>,(null),(null),(null),(null),0
